step	loss
0	1.551316499710083
1	0.8448876142501831
2	0.44255244731903076
3	0.35025864839553833
4	0.28636473417282104
5	0.22624176740646362
6	0.18757881224155426
7	0.16588588058948517
8	0.1235918328166008
9	0.10571172833442688
