step	psnr
0	3.3753089904785156
1	7.383542060852051
2	10.102065086364746
3	10.856246948242188
4	11.540824890136719
5	11.677541732788086
6	13.015090942382812
7	14.263784408569336
8	15.393049240112305
9	16.283153533935547
